Rel_Time,System_Time,S6_EMG_1
0.212276,18:00:50.932,-0.424491
0.212741,18:00:50.933,-0.594354
0.213207,18:00:50.933,-0.834211
0.213672,18:00:50.934,-1.195422
0.214138,18:00:50.934,-1.639887
0.214603,18:00:50.935,-2.064546
0.215069,18:00:50.935,-2.403601
0.215534,18:00:50.936,-2.689113
0.216000,18:00:50.936,-3.013733
0.216466,18:00:50.937,-3.382498
0.216931,18:00:50.937,-3.707286
0.217397,18:00:50.937,-3.960067
0.217862,18:00:50.938,-4.188510
0.218328,18:00:50.938,-4.359045
0.218793,18:00:50.939,-4.464958
0.219259,18:00:50.939,-4.531258
0.219724,18:00:50.940,-4.532097
0.220190,18:00:50.940,-4.462776
0.220655,18:00:50.941,-4.301137
0.221121,18:00:50.941,-4.023346
0.221586,18:00:50.942,-3.648707
0.222052,18:00:50.942,-3.228748
0.222517,18:00:50.943,-2.789487
0.222983,18:00:50.943,-2.348714
0.223448,18:00:50.943,-1.902068
0.223914,18:00:50.944,-1.902068
0.224379,18:00:50.944,-0.936431
0.224845,18:00:50.945,-0.501030
0.225310,18:00:50.945,-0.124712
0.225776,18:00:50.946,0.266377
0.226241,18:00:50.946,0.716213
0.226707,18:00:50.947,1.192233
0.227172,18:00:50.947,1.658183
0.227638,18:00:50.948,2.127489
0.228103,18:00:50.948,2.610056
0.228569,18:00:50.949,3.136599
0.229034,18:00:50.949,3.698558
0.229500,18:00:50.950,4.240040
0.229966,18:00:50.950,4.770443
0.230431,18:00:50.950,5.301183
0.230897,18:00:50.951,5.499245
0.231362,18:00:50.951,5.499916
0.231828,18:00:50.952,5.499916
0.232293,18:00:50.952,5.499916
0.232759,18:00:50.953,5.499916
0.233224,18:00:50.953,5.499916
0.233690,18:00:50.954,5.499916
0.234155,18:00:50.954,5.499916
0.234621,18:00:50.955,5.146090
0.235086,18:00:50.955,4.888609
0.235552,18:00:50.956,4.645228
0.236017,18:00:50.956,4.310872
0.236483,18:00:50.957,3.904677
0.236948,18:00:50.957,3.563439
0.237414,18:00:50.957,3.330465
0.237879,18:00:50.958,3.136263
0.238345,18:00:50.958,3.136263
0.238810,18:00:50.959,2.689281
0.239276,18:00:50.959,2.502464
0.239741,18:00:50.960,2.419547
0.240207,18:00:50.960,2.362310
0.240672,18:00:50.961,2.316823
0.241138,18:00:50.961,2.347372
0.241603,18:00:50.962,2.470405
0.242069,18:00:50.962,2.641779
0.242534,18:00:50.963,2.822049
0.243000,18:00:50.963,2.990234
0.243466,18:00:50.964,3.173861
0.243931,18:00:50.964,3.390387
0.244397,18:00:50.964,3.595163
0.244862,18:00:50.965,3.728099
0.245328,18:00:50.965,3.780804
0.245793,18:00:50.966,3.820752
0.246259,18:00:50.966,3.927504
0.246724,18:00:50.967,4.097368
0.247190,18:00:50.967,4.277974
0.247655,18:00:50.968,4.454215
0.248121,18:00:50.968,4.645899
0.248586,18:00:50.969,4.905058
0.249052,18:00:50.969,5.345495
0.249517,18:00:50.970,5.499916
0.249983,18:00:50.970,5.499916
0.250448,18:00:50.970,5.499916
0.250914,18:00:50.971,5.499916
0.251379,18:00:50.971,5.499916
0.251845,18:00:50.972,5.499916
0.252310,18:00:50.972,5.499916
0.252776,18:00:50.973,5.499916
0.253241,18:00:50.973,5.499916
